tweet_id,created_at,date,month,year,hour,weekday,author,tweet_text_raw,likes,retweets,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment,sentiment_conf
t00659,2015-05-17 05:16:00,2015-05-17,2015-05,2015,5,Sunday,arianagrande,remember when we were 8 and promised we'd go to paris together when we were 21? @alexaluria #yaasqueent https://t.co/4Mx7YBDBiI,23368,12364,0.0107,0.7763,0.2131,0.2024,Neutral,0.7763
t00660,2016-07-04 22:30:00,2016-07-04,2016-07,2016,22,Monday,instagram,Featured submissions from this weekend’s hashtag project: #WHPilluminate https://t.co/vaYtPYc4XP https://t.co/RWsC9XdL7Y,1203,282,0.0048,0.8691,0.126,0.1212,Neutral,0.8691
t00661,2016-11-26 20:15:00,2016-11-26,2016-11,2016,20,Saturday,instagram,We're hanging out with @RiflePaperCo. Watch the rest on our story! #SmallBizSat https://t.co/nYTEawYB7d,1183,257,0.003,0.6291,0.3679,0.3649,Neutral,0.6291
t00662,2016-04-07 21:25:00,2016-04-07,2016-04,2016,21,Thursday,theellenshow,#TBT to that time in South Africa with @NICKIMINAJ. https://t.co/QXMn6KK1u7,14268,4417,0.0044,0.9166,0.079,0.0746,Neutral,0.9166
t00663,2011-07-13 19:31:00,2011-07-13,2011-07,2011,19,Wednesday,twitter,Twitter for Android – Now with Push Notifications and Multiple Accounts http://t.co/032yV6f,139,503,0.0068,0.813,0.1802,0.1734,Neutral,0.813
t00664,2012-10-09 02:42:00,2012-10-09,2012-10,2012,2,Tuesday,jtimberlake,"""@MyClosetByCARTD: @jtimberlake @Mz908 @901Silver - do you really talk like that? in real life?"" Ummm?? No.",58,54,0.6533,0.3351,0.0116,-0.6417,Negative,0.6533
t00665,2014-06-09 15:59:00,2014-06-09,2014-06,2014,15,Monday,taylorswift13,"Great crowd tonight, Singapore! See you again later this week for show #2!",14153,8973,0.0023,0.0087,0.989,0.9867,Positive,0.989
t00666,2016-05-17 19:04:00,2016-05-17,2016-05,2016,19,Tuesday,barackobama,"Judge Garland's former clerks have a lot to say about his record, work-life balance, and more—take a look: https://t.co/eHIgwaid6N",2269,621,0.0152,0.8682,0.1166,0.1014,Neutral,0.8682
t00667,2016-02-24 23:22:00,2016-02-24,2016-02,2016,23,Wednesday,theellenshow,The best thing about the Oscars with @ChrisRock is it’s gonna be amazing. The 2nd best is that I think I’m gonna win the staff Oscar pool.,4267,517,0.0033,0.0097,0.987,0.9837,Positive,0.987
t00668,2016-08-02 15:28:00,2016-08-02,2016-08,2016,15,Tuesday,barackobama,44 is turning 55. Celebrate—sign the card. https://t.co/608nLDOLP4,4684,864,0.003,0.0829,0.9141,0.9111,Positive,0.9141
t00669,2015-08-12 19:02:00,2015-08-12,2015-08,2015,19,Wednesday,britneyspears,@jaimecamil Awww thank you so so much 😘 Can’t wait!!,804,353,0.0038,0.0093,0.9869,0.9832,Positive,0.9869
t00670,2017-01-09 16:16:00,2017-01-09,2017-01,2017,16,Monday,cnnbrk,"Orlando, Florida, police officer killed in line of duty identified as Master Sgt. Debra Clayton. https://t.co/8UzFB4FbRy",484,470,0.6046,0.3869,0.0084,-0.5962,Negative,0.6046
t00671,2015-09-26 04:37:00,2015-09-26,2015-09,2015,4,Saturday,arianagrande,sweet dreams nyc,30471,14726,0.0051,0.0698,0.9252,0.9201,Positive,0.9252
t00672,2016-12-30 10:38:00,2016-12-30,2016-12,2016,10,Friday,cnnbrk,Russian foreign minister proposes expelling 35 US diplomats in response to US sanctions over alleged election hack.… https://t.co/hLSPabTNVF,332,351,0.4079,0.5809,0.0113,-0.3966,Neutral,0.5809
t00673,2015-12-30 23:00:00,2015-12-30,2015-12,2015,23,Wednesday,youtube,Draw My Life with JOHN CENA!!! https://t.co/Ukv1HjOHiX https://t.co/dYmyoQiAFg,3059,761,0.0063,0.3718,0.6219,0.6156,Positive,0.6219
t00674,2017-01-18 00:53:00,2017-01-18,2017-01,2017,0,Wednesday,twitter,@iNoumanSays You earned it. https://t.co/aHESCKDlbb,15,3,0.0068,0.0323,0.9608,0.954,Positive,0.9608
t00675,2014-10-16 05:15:00,2014-10-16,2014-10,2014,5,Thursday,taylorswift13,Track 3 #1989lyrics http://t.co/dUC6hcMdin,12797,8834,0.0139,0.9486,0.0376,0.0237,Neutral,0.9486
t00676,2016-08-24 15:02:00,2016-08-24,2016-08,2016,15,Wednesday,cnnbrk,"Italy quake death toll rises to 73, including 53 in Amatrice, civil protection agency says. https://t.co/qRQXHkkXq3 https://t.co/5hsErwaKA2",328,496,0.5238,0.464,0.0122,-0.5116,Negative,0.5238
t00677,2014-11-20 15:51:00,2014-11-20,2014-11,2014,15,Thursday,jtimberlake,One down! Congrats joeybuzz! Next up....Any guesses where?! #Finderskeepers #JT2020Tour 9 more to go. http://t.co/2eNeyr43Ex,926,315,0.0019,0.0468,0.9513,0.9495,Positive,0.9513
t00678,2016-11-20 22:51:00,2016-11-20,2016-11,2016,22,Sunday,arianagrande,omg.......... this queen just walked right in ten minutes after my last post to surprise me. my… https://t.co/Wk51CoL658,28887,8198,0.0043,0.0208,0.9748,0.9705,Positive,0.9748
t00679,2013-05-12 10:06:00,2013-05-12,2013-05,2013,10,Sunday,katyperry,I noticed that. I guess I was too excited. Sorry mom. RT @izzyduval: @katyperry the grammar in that tweet is appalling Katy,2067,2803,0.8308,0.149,0.0201,-0.8107,Negative,0.8308
t00680,2015-12-10 08:21:00,2015-12-10,2015-12,2015,8,Thursday,kimkardashian,to donate to this charity Soles For Souls! They helped her during Hurricane Katrina. I think I know the designer of Shoe of the Year Award!,6838,1256,0.007,0.21,0.783,0.776,Positive,0.783
t00681,2012-05-01 04:15:00,2012-05-01,2012-05,2012,4,Tuesday,selenagomez,#2 on Yahoo homepage!!!! Crazy!!! My new fragrance is out at Macy's at the end of May. You guys are the best.... http://t.co/OqoLlxuo,1475,3915,0.002,0.0083,0.9897,0.9877,Positive,0.9897
t00682,2014-06-24 16:03:00,2014-06-24,2014-06,2014,16,Tuesday,rihanna,“@__tatijxo: Bout to watch the LHHATL from last night though 🔥” ditto! Apple TV make love to me!,2896,1119,0.0033,0.0397,0.957,0.9538,Positive,0.957
t00683,2016-07-21 16:42:00,2016-07-21,2016-07,2016,16,Thursday,ddlovato,You know I’ll be rocking my @HillaryClinton x @TanyaTaylorNYC campaign tee this election #ImWithHER #MadeForHistory https://t.co/O3DlFzpjGe,25721,7778,0.0034,0.1126,0.884,0.8805,Positive,0.884
t00684,2016-02-21 10:24:00,2016-02-21,2016-02,2016,10,Sunday,ddlovato,Women empowerment is using your voice to help the voiceless women be heard.,34769,23525,0.0066,0.2223,0.7711,0.7645,Positive,0.7711
t00685,2013-11-03 15:55:00,2013-11-03,2013-11,2013,15,Sunday,cristiano,Less than 48 hours to go! Registrations for @GAMEbyRonaldo will open this Tuesday @ 12:00 London time. Find out more: http://t.co/HYlXbMhaL4,1192,1282,0.003,0.6819,0.3151,0.3121,Neutral,0.6819
t00686,2012-08-07 10:24:00,2012-08-07,2012-08,2012,10,Tuesday,jtimberlake,"@beauchamp24 Hi Taylor. You are brave. You are strong. Everything that makes you different makes you cool to me. Bullies are weak. Love, JT",97,104,0.0193,0.0776,0.9031,0.8837,Positive,0.9031
t00687,2016-12-07 19:34:00,2016-12-07,2016-12,2016,19,Wednesday,youtube,@MannyMua733 Absolutely 👏 sickening. 👏 #YouTubeRewind,131,4,0.8429,0.1298,0.0273,-0.8156,Negative,0.8429
t00688,2014-02-05 18:17:00,2014-02-05,2014-02,2014,18,Wednesday,shakira,Love the #CantRememberToForgetYou video so much you want to own it? Then download it from iTunes now! http://t.co/zvA459xfh7 ShakiraHQ,825,523,0.003,0.0264,0.9707,0.9677,Positive,0.9707
t00689,2013-11-11 14:19:00,2013-11-11,2013-11,2013,14,Monday,katyperry,Meow out to all the kittens and all the voting they did with their precious paws to win me Best Female last night @MTVEMA 😻😽😻😽 ILY ILY!,11284,8617,0.004,0.0111,0.9849,0.9809,Positive,0.9849
t00690,2012-12-21 15:37:00,2012-12-21,2012-12,2012,15,Friday,cristiano,Thank you for reaching 15M followers on twitter. It's now time to #Celebrate15M during the Christmas holidays.,856,2130,0.0015,0.0157,0.9828,0.9813,Positive,0.9828
t00691,2016-09-07 13:02:00,2016-09-07,2016-09,2016,13,Wednesday,jimmyfallon,"Tonight on the show: @michaelstrahan, @ZacharyQuinto, @JimCameron, and music from @vincestaples! #FallonTonight",1549,205,0.0026,0.5977,0.3997,0.3972,Neutral,0.5977
t00692,2016-05-04 13:22:00,2016-05-04,2016-05,2016,13,Wednesday,jimmyfallon,"Fun show tonight: @Renner4Real, Fran Lebowitz stops by & music from @Grimezsz! #FallonTonight",1827,331,0.0013,0.0362,0.9625,0.9612,Positive,0.9625
t00693,2016-01-07 01:17:00,2016-01-07,2016-01,2016,1,Thursday,instagram,Another one of our favorite submissions to #WHPresolutions2016: https://t.co/Rrh16fn5CI,1707,274,0.0024,0.0347,0.9629,0.9606,Positive,0.9629
t00694,2016-09-10 17:20:00,2016-09-10,2016-09,2016,17,Saturday,katyperry,. @emelisande I am ready to lose it and then recover!!! Bring the truth! ❤️,9315,2342,0.0583,0.2964,0.6453,0.587,Positive,0.6453
t00695,2012-09-09 21:19:00,2012-09-09,2012-09,2012,21,Sunday,taylorswift13,@TheRyanAdams. Just saw what you tweeted about my song last week and it's caused this constant perma-smile. You're the absolute coolest.,976,1452,0.0054,0.0153,0.9793,0.974,Positive,0.9793
t00696,2016-01-14 14:28:00,2016-01-14,2016-01,2016,14,Thursday,ladygaga,"Til It Happens To You my original score with @Diane_Warren for ""The Hunting Ground"" was nominated for an OSCAR 🎹 https://t.co/S7kJZAY6u5",17087,10951,0.0023,0.2705,0.7272,0.7249,Positive,0.7272
t00697,2016-02-24 17:40:00,2016-02-24,2016-02,2016,17,Wednesday,theellenshow,"Damn, Daniel and Josh! Back at it again on my show today. https://t.co/DgJylOZUF4 https://t.co/WyGl1XsSZP",18901,6105,0.0858,0.259,0.6551,0.5693,Positive,0.6551
t00698,2016-10-28 20:21:00,2016-10-28,2016-10,2016,20,Friday,ladygaga,🙌Ladies and gentlemen..(drum roll) little monsters...let's welcome in The Joanne Crew...🙌 #JoanneCrew #JOANNE https://t.co/BwD456bU7k,8484,2452,0.0027,0.06,0.9373,0.9346,Positive,0.9373
t00699,2015-04-21 14:27:00,2015-04-21,2015-04,2015,14,Tuesday,shakira,"""Did you know it is actually easier to teach a baby to read than a five-year-old""? Glenn Doman http://t.co/QzWU9kUSf7",1766,669,0.0121,0.7696,0.2184,0.2063,Neutral,0.7696
t00700,2013-05-07 08:52:00,2013-05-07,2013-05,2013,8,Tuesday,rihanna,"Settling is not an option! Nothing less than 100% loyalty, honesty, and respect!! Love ain't for kidz #butimsleeptho",9636,17734,0.6826,0.2635,0.0538,-0.6288,Negative,0.6826
t00701,2015-07-17 04:18:00,2015-07-17,2015-07,2015,4,Friday,jimmyfallon,Ha!!!! It's all Bill. Go see Trainwreck! https://t.co/hUMMaLIyu9,1655,247,0.1143,0.2889,0.5969,0.4826,Positive,0.5969
t00702,2011-12-10 07:59:00,2011-12-10,2011-12,2011,7,Saturday,cristiano,I'm excited for the El Classico match tonight - get my Freestyle game for 99 cents today only! http://t.co/OvxAbJzt,430,1579,0.0013,0.0136,0.9851,0.9838,Positive,0.9851
t00703,2016-05-19 20:30:00,2016-05-19,2016-05,2016,20,Thursday,instagram,"A miniature world of brilliant ""balloons"" #myinstagramlogo🎈 https://t.co/jP0Jb0w60m",770,142,0.0026,0.0781,0.9194,0.9168,Positive,0.9194
t00704,2012-12-15 12:52:00,2012-12-15,2012-12,2012,12,Saturday,taylorswift13,I'm heartsick about the senseless tragedy in CT and praying for the families of the children and teachers who lost their lives. Unthinkable.,20190,32874,0.9081,0.0798,0.0122,-0.8959,Negative,0.9081
t00705,2016-10-18 20:55:00,2016-10-18,2016-10,2016,20,Tuesday,theellenshow,"My friend @CaroleBSager has a new autobiography. Even better, she wrote it about her life. https://t.co/LwnZOuGagN",1068,106,0.0014,0.0222,0.9764,0.9749,Positive,0.9764
t00706,2016-05-11 19:08:00,2016-05-11,2016-05,2016,19,Wednesday,jimmyfallon,"Hashtag game! Tweet out something dumb, weird, or embarrassing you've done or thought and tag with #ImDumb. Could be on our show!",2726,513,0.3457,0.4496,0.2047,-0.141,Neutral,0.4496
t00707,2014-10-03 03:41:00,2014-10-03,2014-10,2014,3,Friday,jimmyfallon,Stay up late. Get up early. Prove everyone wrong. It's easy. #fallontonight #5sos #jeter #R2SPECT,4303,1577,0.0397,0.4095,0.5509,0.5112,Positive,0.5509
t00708,2015-07-31 17:47:00,2015-07-31,2015-07,2015,17,Friday,theellenshow,There’s nothing sweeter than a little kitten http://t.co/umJlHx0pvn,7628,2553,0.0085,0.0199,0.9716,0.9631,Positive,0.9716
t00709,2011-07-20 13:52:00,2011-07-20,2011-07,2011,13,Wednesday,selenagomez,Only a day and a half left in the charitybuzz auction. You can help the victims of the devastating tornadoes and... http://fb.me/10QKaePNO,452,1315,0.0362,0.6807,0.2831,0.247,Neutral,0.6807
t00710,2015-02-03 07:28:00,2015-02-03,2015-02,2015,7,Tuesday,ladygaga,@Doogi_ because I want to write my new album! I gave it so much attention in the creation of it. The product is pure luxury!,2956,1780,0.0043,0.0352,0.9605,0.9562,Positive,0.9605
t00711,2015-10-30 15:21:00,2015-10-30,2015-10,2015,15,Friday,instagram,“That’s what #cosplay has done for me — I start to see the hero in myself.” —@Strawburry17,1767,397,0.0026,0.0328,0.9647,0.9621,Positive,0.9647
t00712,2015-11-23 21:15:00,2015-11-23,2015-11,2015,21,Monday,ddlovato,Thank you @JoJoWright!!,7407,3930,0.0039,0.0137,0.9824,0.9785,Positive,0.9824
t00713,2016-05-23 23:36:00,2016-05-23,2016-05,2016,23,Monday,theellenshow,.@BlakeShelton told me about the beautiful music he’s making with @GwenStefani. They’re also writing songs. https://t.co/ZjS3BWisL2,2839,338,0.0016,0.0234,0.975,0.9734,Positive,0.975
t00714,2013-06-24 14:39:00,2013-06-24,2013-06,2013,14,Monday,rihanna,Bout dat #CENSORED life!! #ratedr http://t.co/YYGRXILhNJ,922,1177,0.5139,0.4299,0.0562,-0.4577,Negative,0.5139
t00715,2013-12-31 07:08:00,2013-12-31,2013-12,2013,7,Tuesday,britneyspears,.@ParisHilton @NickyHilton Lovely seeing you both in the audience tonight! Miss you girls!!,3178,2040,0.0035,0.0091,0.9874,0.9839,Positive,0.9874
t00716,2016-09-19 22:56:00,2016-09-19,2016-09,2016,22,Monday,cnnbrk,"NJ and NY bombings suspect charged with attempted murder after shootout with police, prosecutor's office says… https://t.co/RelGljcs3G",415,336,0.4441,0.5444,0.0116,-0.4325,Neutral,0.5444
t00717,2015-02-28 17:54:00,2015-02-28,2015-02,2015,17,Saturday,jtimberlake,Uh... This looks like it's gonna be HILARIOUS. Can't wait @OrvilleIV http://t.co/TTuySFEZtc,2125,724,0.0027,0.008,0.9893,0.9865,Positive,0.9893
t00718,2012-09-19 00:45:00,2012-09-19,2012-09,2012,0,Wednesday,jtimberlake,Let the games begin. Ask away... #AskJT #TroubleWithTheCurve http://t.co/dqaaFV9Q,4708,2082,0.0331,0.8516,0.1153,0.0822,Neutral,0.8516
t00719,2015-10-20 02:17:00,2015-10-20,2015-10,2015,2,Tuesday,ddlovato,😂😂😂🙌🏼🙌🏼👏🏼👏🏼 this is incredible https://t.co/Pg7KuSzjVU,7578,4554,0.0042,0.0105,0.9853,0.9812,Positive,0.9853
t00720,2016-05-19 17:30:00,2016-05-19,2016-05,2016,17,Thursday,arianagrande,album tonight #dangerouswomantonight !!!!!!!! ♡ 🐰 https://t.co/ECTANipru7,20402,10397,0.0054,0.2101,0.7845,0.7791,Positive,0.7845
t00721,2016-03-22 20:59:00,2016-03-22,2016-03,2016,20,Tuesday,arianagrande,I wanna savor... save it for later... the taste the flavorr,39452,18159,0.0236,0.1701,0.8063,0.7827,Positive,0.8063
t00722,2017-01-14 00:00:00,2017-01-14,2017-01,2017,0,Saturday,youtube,“What goes through your mind when you’re running?” “When will it be over!” An 85-year-old marathoner →… https://t.co/UoQJ7N4wzT,1098,199,0.016,0.8983,0.0858,0.0698,Neutral,0.8983
t00723,2016-09-16 01:07:00,2016-09-16,2016-09,2016,1,Friday,youtube,@GloZell Ooooo our favorite videos are when DeOnzell shows up!,89,14,0.0021,0.0166,0.9813,0.9791,Positive,0.9813
t00724,2010-02-02 23:49:00,2010-02-02,2010-02,2010,23,Tuesday,twitter,Reason #4132 for Changing Your Password: http://bit.ly/cRTg8v,133,448,0.0259,0.9123,0.0618,0.036,Neutral,0.9123
t00725,2011-01-14 20:00:00,2011-01-14,2011-01,2011,20,Friday,cristiano,I like. @youshidean how do u like this pic. I really like u & Ozi play together. You both are talented players. - http://say.ly/uAy6AR,68,99,0.004,0.0303,0.9657,0.9618,Positive,0.9657
t00726,2013-02-14 20:42:00,2013-02-14,2013-02,2013,20,Thursday,selenagomez,"Sometimes Pearls are a girl's bestfriend, LOL. Happy Valentines Day everyone!! http://t.co/x7HZ3Vli",19281,20576,0.0023,0.0109,0.9868,0.9845,Positive,0.9868
t00727,2014-07-27 17:58:00,2014-07-27,2014-07,2014,17,Sunday,cristiano,Here it is! Exclusive behind the scenes from my new #CR7underwear campaign launching next week. Stay tuned! http://t.co/IHyD303vMv,9905,5328,0.0023,0.298,0.6996,0.6973,Positive,0.6996
t00728,2013-11-16 21:38:00,2013-11-16,2013-11,2013,21,Saturday,jimmyfallon,Honored to be part of the show tonight. Hello Boston! http://t.co/NLRvx2DKiK,323,117,0.0017,0.0105,0.9878,0.9862,Positive,0.9878
t00729,2016-03-29 19:15:00,2016-03-29,2016-03,2016,19,Tuesday,twitter,"Brace yourself, #TravelTuesday has come to Dubrovnik. https://t.co/xlvTRhSjU5",990,294,0.0045,0.5021,0.4934,0.4889,Neutral,0.5021
t00730,2013-04-19 04:46:00,2013-04-19,2013-04,2013,4,Friday,katyperry,You know the 90's are back when you're voluntarily putting record scratches in your songs a la Portishead's Dummy.,2641,3862,0.2622,0.6314,0.1063,-0.1559,Neutral,0.6314
t00731,2013-10-22 04:52:00,2013-10-22,2013-10,2013,4,Tuesday,katyperry,@zennnnaaa it's like someone falling in love with a witch! Influenced by the movie The Craft!,755,599,0.015,0.4828,0.5022,0.4872,Positive,0.5022
t00732,2015-01-27 00:53:00,2015-01-27,2015-01,2015,0,Tuesday,ddlovato,Posting my #NoMakeupMonday selfie for mommy even though I don't wear makeup... Cause I'm a boy.... And… http://t.co/V3SWtOaBMz,18264,11489,0.0383,0.5403,0.4214,0.3831,Neutral,0.5403
t00733,2011-11-17 18:29:00,2011-11-17,2011-11,2011,18,Thursday,selenagomez,@lizgannes Thanks for a great write up!!!,319,842,0.0043,0.0108,0.985,0.9807,Positive,0.985
t00734,2016-04-23 18:07:00,2016-04-23,2016-04,2016,18,Saturday,barackobama,"In the weekly address, President Obama talks about his efforts to improve our criminal justice system. https://t.co/7jF32GGJ3c #FixTheSystem",2098,560,0.0072,0.4986,0.4942,0.4871,Neutral,0.4986
t00735,2013-01-21 17:38:00,2013-01-21,2013-01,2013,17,Monday,rihanna,Mr. Prez http://t.co/KawNYXsU,1121,2610,0.0109,0.8222,0.1669,0.156,Neutral,0.8222
t00736,2016-12-16 18:30:00,2016-12-16,2016-12,2016,18,Friday,instagram,For @sweetandhome1 no baked treat is complete without a touch of home https://t.co/w28y0NkN4P,577,113,0.0132,0.3399,0.6469,0.6337,Positive,0.6469
t00737,2015-07-24 07:00:00,2015-07-24,2015-07,2015,7,Friday,arianagrande,@alexaluria I miss you........... so much,10475,5577,0.2577,0.3079,0.4343,0.1766,Positive,0.4343
t00738,2014-09-08 19:36:00,2014-09-08,2014-09,2014,19,Monday,taylorswift13,I mean... @josheells and I talked about alllll kinds of stuff. #RollingStone http://t.co/kDe4Apmzx1,11777,7370,0.0068,0.6758,0.3174,0.3106,Neutral,0.6758
t00739,2015-11-13 22:13:00,2015-11-13,2015-11,2015,22,Friday,ddlovato,"Path to Fame is quick paced, fun and exciting!! You are constantly making decisions that affect your career! https://t.co/Rgc9XwDd6B",8787,4985,0.0023,0.0267,0.971,0.9687,Positive,0.971
t00740,2013-12-20 12:31:00,2013-12-20,2013-12,2013,12,Friday,cristiano,"Hey guys, #FF @vivaronaldo @gamebyronaldo @cr7underwear @savethechildren @jacobandco",1259,1060,0.0051,0.4074,0.5875,0.5824,Positive,0.5875
t00741,2016-05-18 21:56:00,2016-05-18,2016-05,2016,21,Wednesday,instagram,Creativity meets consistency in this fun round-up (via @bustle @MvpJess) https://t.co/QuqRsIxI1r,640,127,0.0018,0.0848,0.9134,0.9117,Positive,0.9134
t00742,2016-01-14 01:00:00,2016-01-14,2016-01,2016,1,Thursday,twitter,"When you win tonight's Powerball jackpot, what will you do with $1.5 billion? 💵 https://t.co/5wHdpuVUvB 💵",1022,411,0.0065,0.6897,0.3038,0.2973,Neutral,0.6897
t00743,2014-09-11 00:33:00,2014-09-11,2014-09,2014,0,Thursday,taylorswift13,Real talk: http://t.co/MLIbdFBJ8C,12705,7920,0.0311,0.9073,0.0616,0.0305,Neutral,0.9073
t00744,2014-01-05 14:25:00,2014-01-05,2014-01,2014,14,Sunday,jimmyfallon,@JennaWolfe orrrrrr you guys could watch the Best Of Late Night instead... #teamNBC,74,9,0.0295,0.838,0.1325,0.103,Neutral,0.838
t00745,2015-11-07 18:29:00,2015-11-07,2015-11,2015,18,Saturday,barackobama,"""For the first time, more than 90% of Americans are covered."" —President Obama https://t.co/oEk3RYamsm #GetCovered",2912,1140,0.002,0.0645,0.9335,0.9314,Positive,0.9335
t00746,2015-11-24 21:27:00,2015-11-24,2015-11,2015,21,Tuesday,arianagrande,wow ♡ thank you so much @miyuki_ohashi https://t.co/BJauf0fbmS,21548,9424,0.0056,0.0104,0.984,0.9784,Positive,0.984
t00747,2011-05-12 13:06:00,2011-05-12,2011-05,2011,13,Thursday,twitter,We released an update for #TwitterforMac: http://t.co/0JG5Mcq,148,390,0.0041,0.6367,0.3591,0.355,Neutral,0.6367
t00748,2015-09-16 23:25:00,2015-09-16,2015-09,2015,23,Wednesday,arianagrande,literally heading home with tears in my eyes!! thank you babes for making today so beautiful. u have no idea just how seriously loved u are!,25356,13251,0.0066,0.0085,0.9849,0.9783,Positive,0.9849
t00749,2014-03-11 19:03:00,2014-03-11,2014-03,2014,19,Tuesday,jimmyfallon,"Tonight: @tylerperry, @billyeichner, music from @juanes and our first Tonight Show #DoNotRead list!! #FallonTonight",827,275,0.0078,0.6784,0.3138,0.3059,Neutral,0.6784
t00750,2012-11-17 23:53:00,2012-11-17,2012-11,2012,23,Saturday,rihanna,Niggaz in Paris,2790,7548,0.3106,0.5864,0.103,-0.2076,Neutral,0.5864
t00751,2016-07-27 22:38:00,2016-07-27,2016-07,2016,22,Wednesday,twitter,"Now, everyone can use #Stickers on photos! Celebrate with us tomorrow as we #StickTogether . https://t.co/LOh2jygRno",4644,1313,0.0012,0.0363,0.9624,0.9612,Positive,0.9624
t00752,2014-05-22 00:12:00,2014-05-22,2014-05,2014,0,Thursday,jimmyfallon,"Pope Francis is bringing a rabbi and a Muslim leader to the Holy Land this week. Bartenders said, ""We've been expecting you!"" #fallonmono",3610,2340,0.0031,0.1732,0.8237,0.8205,Positive,0.8237
t00753,2015-12-09 20:02:00,2015-12-09,2015-12,2015,20,Wednesday,rihanna,New #ANTIWorldTour dates; presale NOW @TIDALHiFi & @AmericanExpress Card Members can get tix https://t.co/ehfoEsytpo https://t.co/ZijQfVVYSb,8508,3743,0.0034,0.815,0.1815,0.1781,Neutral,0.815
t00754,2014-10-22 16:51:00,2014-10-22,2014-10,2014,16,Wednesday,ladygaga,And the brilliant pastry chef made cakes of my ARTPOP looks. http://t.co/CYOOm2xCS6,2753,1749,0.0023,0.0245,0.9732,0.9708,Positive,0.9732
t00755,2015-03-06 18:10:00,2015-03-06,2015-03,2015,18,Friday,ladygaga,Paris are you ready to take your seat? #BalenciagaFW15 https://t.co/1lJBMqsqIN,4469,2576,0.0054,0.8006,0.1939,0.1885,Neutral,0.8006
t00756,2015-05-14 09:02:00,2015-05-14,2015-05,2015,9,Thursday,katyperry,Joined a traditional Thai band last night #whatsgoodBangkok @ LAST NIGHT IN BANGKOK https://t.co/i1lCKN71xk,10799,6021,0.0053,0.6566,0.338,0.3327,Neutral,0.6566
t00757,2014-12-10 18:21:00,2014-12-10,2014-12,2014,18,Wednesday,jtimberlake,"Say hi to @ErinStevenson, background singer for much of #JT2020Tour #MeetTheTNKids http://t.co/MlvhUFEbJF -teamJT http://t.co/pMCW080gbe",1505,1651,0.0023,0.4556,0.5421,0.5399,Positive,0.5421
t00758,2015-06-21 20:46:00,2015-06-21,2015-06,2015,20,Sunday,arianagrande,u already kno my love!!!!! https://t.co/J77KuTW3is,15142,6824,0.0031,0.0213,0.9756,0.9725,Positive,0.9756
t00759,2016-07-19 22:29:00,2016-07-19,2016-07,2016,22,Tuesday,youtube,@TheRock @IISuperwomanII Hope you enjoyed our secret volcano headquarters!,159,35,0.0021,0.0198,0.9782,0.9761,Positive,0.9782
t00760,2016-04-23 05:01:00,2016-04-23,2016-04,2016,5,Saturday,kimkardashian,Back in Miami #OldSchool #GrootWedding https://t.co/fUFbv7KViO,10828,1605,0.0059,0.7886,0.2056,0.1997,Neutral,0.7886
t00761,2016-10-03 23:15:00,2016-10-03,2016-10,2016,23,Monday,ddlovato,@warrior92demi too much hair!! But I'm changing it again real soon....,4319,1763,0.2266,0.5316,0.2419,0.0153,Neutral,0.5316
t00762,2016-05-05 03:18:00,2016-05-05,2016-05,2016,3,Thursday,theellenshow,Sending one now. What's your home address? https://t.co/ZNHzhIdd71,3199,427,0.0094,0.9355,0.0552,0.0458,Neutral,0.9355
t00763,2012-06-07 14:49:00,2012-06-07,2012-06,2012,14,Thursday,selenagomez,"@SelenaLikeABoss That's so sweet! Thank you so much, that's a good way to start my day.",714,1682,0.0068,0.0096,0.9836,0.9768,Positive,0.9836
t00764,2016-10-03 22:52:00,2016-10-03,2016-10,2016,22,Monday,ddlovato,@cftsbitty I love this song 💗Niall did an awesome job,9972,6857,0.0033,0.0069,0.9898,0.9865,Positive,0.9898
t00765,2016-01-10 19:00:00,2016-01-10,2016-01,2016,19,Sunday,youtube,Keep on truckin! https://t.co/TrC1iJNbNE https://t.co/oBguVw65g4,1567,267,0.0044,0.0654,0.9302,0.9259,Positive,0.9302
t00766,2015-10-16 23:47:00,2015-10-16,2015-10,2015,23,Friday,theellenshow,I’m about to go live on @QVC with my ED On Air holiday collection! Tune in. I’ll QVC you soon. http://t.co/zZkfkovzaE,1378,226,0.0024,0.4752,0.5224,0.5201,Positive,0.5224
t00767,2016-09-10 21:19:00,2016-09-10,2016-09,2016,21,Saturday,katyperry,@heavymetaIovers sorry I went too far. Love ya,2597,691,0.1238,0.2176,0.6587,0.5349,Positive,0.6587
t00768,2016-02-24 22:34:00,2016-02-24,2016-02,2016,22,Wednesday,theellenshow,I feel the same way about my kitty kitty kitty cats. https://t.co/VZdW17BMmN,11453,1917,0.0639,0.6717,0.2644,0.2004,Neutral,0.6717
t00769,2014-09-12 16:19:00,2014-09-12,2014-09,2014,16,Friday,barackobama,"""People who love their country can change it ... That is the promise of AmeriCorps."" —President Obama #AmeriCorps20",1231,803,0.0038,0.071,0.9252,0.9214,Positive,0.9252
t00770,2014-08-28 09:25:00,2014-08-28,2014-08,2014,9,Thursday,ladygaga,@Lexiesus truth,1777,891,0.1203,0.6883,0.1914,0.0711,Neutral,0.6883
